:grinning:	😀
:large_orange_diamond:	🔶
:large_blue_diamond:	🔷
:white_square_button:	🔳
:black_square_button:	🔲
:black_small_square:	▪
:white_small_square:	▫
:black_medium_small_square:	◾
:white_medium_small_square:	◽
:black_medium_square:	◼
:white_medium_square:	◻
:black_large_square:	⬛
:white_large_square:	⬜
:speaker:	🔈
:mute:	🔇
:sound:	🔉
:loud_sound:	🔊
:bell:	🔔
:no_bell:	🔕
:mega:	📣
:loudspeaker:	📢
:speech_left:	🗨
:left_speech_bubble:	🗨
:speech_balloon:	💬
:thought_balloon:	💭
:anger_right:	🗯
:right_anger_bubble:	🗯
:spades:	♠
:clubs:	♣
:hearts:	♥
:diamonds:	♦
:black_joker:	🃏
:flower_playing_cards:	🎴
:mahjong:	🀄
:clock1:	🕐
:clock2:	🕑
:clock3:	🕒
:clock4:	🕓
:clock5:	🕔
:clock6:	🕕
:clock7:	🕖
:clock8:	🕗
:clock9:	🕘
:clock10:	🕙
:clock11:	🕚
:clock12:	🕛
:clock130:	🕜
:clock230:	🕝
:clock330:	🕞
:clock430:	🕟
:clock530:	🕠
:clock630:	🕡
:clock730:	🕢
:clock830:	🕣
:clock930:	🕤
:clock1030:	🕥
:clock1130:	🕦
:clock1230:	🕧
:flag_white:	🏳
:waving_white_flag:	🏳
:flag_black:	🏴
:waving_black_flag:	🏴
:checkered_flag:	🏁
:triangular_flag_on_post:	🚩
:crossed_flags:	🎌
:asterisk_symbol:	*
:regional_indicator_z:	🇿
:regional_indicator_y:	🇾
:regional_indicator_x:	🇽
:pound_symbol:	#
:tone1:	🏻
:tone2:	🏼
:tone3:	🏽
:tone4:	🏾
:tone5:	🏿
:regional_indicator_w:	🇼
:regional_indicator_v:	🇻
:regional_indicator_u:	🇺
:regional_indicator_t:	🇹
:regional_indicator_s:	🇸
:regional_indicator_r:	🇷
:regional_indicator_q:	🇶
:regional_indicator_p:	🇵
:regional_indicator_o:	🇴
:regional_indicator_n:	🇳
:regional_indicator_m:	🇲
:regional_indicator_l:	🇱
:regional_indicator_k:	🇰
:regional_indicator_j:	🇯
:regional_indicator_i:	🇮
:regional_indicator_h:	🇭
:regional_indicator_g:	🇬
:regional_indicator_f:	🇫
:regional_indicator_e:	🇪
:regional_indicator_d:	🇩
:regional_indicator_c:	🇨
:regional_indicator_b:	🇧
:regional_indicator_a:	🇦
:digit_nine:	9
:digit_eight:	8
:digit_seven:	7
:digit_six:	6
:digit_five:	5
:digit_four:	4
:digit_three:	3
:digit_two:	2
:digit_one:	1
:digit_zero:	0
:female_sign:	♀
:male_sign:	♂
:medical_symbol:	⚕
:face_with_raised_eyebrow:	🤨
:star_struck:	🤩
:crazy_face:	🤪
:shushing_face:	🤫
:face_with_symbols_over_mouth:	🤬
:face_with_hand_over_mouth:	🤭
:face_vomiting:	🤮
:exploding_head:	🤯
:face_with_monocle:	🧐
:adult:	🧑
:child:	🧒
:older_adult:	🧓
:bearded_person:	🧔
:woman_with_headscarf:	🧕
:brain:	🧠
:billed_cap:	🧢
:mage:	🧙
:fairy:	🧚
:vampire:	🧛
:merperson:	🧜
:elf:	🧝
:genie:	🧞
:zombie:	🧟
:scarf:	🧣
:gloves:	🧤
:coat:	🧥
:socks:	🧦
:love_you_gesture:	🤟
:palms_up_together:	🤲
